SL.,NCR REPORT NO.,DATE OF NCR ,DATE  OF DETECTION,ITEM DESCRIPTION,NCR Description,Part Number,"Modified or Unmodified
FMI",Failure After FMI,Faulty Sl. No.,Healthy Sl. No.,ISSUED BY,Qty.,SUB-SYSTEM, Train No,CAR,RESPONSIBILITY (VENDOR/BEML),STATUS,ITEM REPAIRED/ RECOUPED,ITEM REPLACED (IF ANY),DATE OF REPAIRED/REPLACED,SOURCE,DATE OF INVESTIGATION REPORT RECEIVED,"NCR CLOSED BY DOC.,",GATE PASS           S/No,Remarks,IR Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NCR-BEML RS3R-T&C-CPD-001,03/May/18,03/May/18,KOR Relay,KOR relay was not responding to both the positions of Mascon Key.Problem resolved by swapping KOR relay with spare relay.,,,,___,___,,1,VCC,01,DM-1,M/s AAL,CLOSED,REPLACED,Relay D-U204-KL,11.06.2019,REPLACEMENT BY VENDOR,14.05.2018,,NOT FOUND,Mail Received for KOR Relay replacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NCR-BEML RS3R-T&C-CPD-002,12/May/18,10/May/18,Battery Cells,"In TS#02 T2 car BCB box, leakage voltage was showing 16.77V between wire no. 5166 (which is coming directly from battery) w.r.t ground.",,,,___,___,,80,Battery,02,T-2,M/s SAFT,CLOSED,Repaired,N/A,09.08.2018,N/A,19.04.2019,,NA,Report Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NCR-BEML RS3R-T&C-CPD-004,29/May/18,29/May/18,PWM Generator,No output votage was coming at BECU TB &VVVF coonector while doing variation by TBC.,,,,"Assy. No: DK74741, dtd. 3/2017",___,,1,Propulsion,01,DM-2,M/s MELCO,CLOSED,REPLACED,PWM Generator,29.05.2018,CANNIBALISATION,14.06.2018,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NCR-BEML RS3R-T&C-CPD-005,04/Jun/18,04/Jun/18,Semi Permanent Coupler Gasket,Air leakage from MR pipe line of  DM-1-T1 semi-permanent coupler below muff coupling observed.,,,,"Part No:
FT0052435-A00
FT0052436-A00
Assy. No:
A18003
A18001",___,,2,Coupler,01,"DM-1,T-1",M/s Faiveley,CLOSED,REPLACED,Semi Permamnent Coupler Gasket,NA,REPLACEMENT BY VENDOR,21.08.2019,,NA,Report Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NCR-BEML RS3R-T&C-CPD-006,04/Jun/18,30/May/18,Saloon Door pull arm,Pull arm back is malfuncioning.,,,,"3TD04431R17- Pull arm right (04 Nos.)
3TD04431R18- Pull arm left (05 Nos.)",___,,9,Door,01,,M/s KBI,CLOSED,Repaired,N/A,06.04.2018,N/A,Received,,NA,"Corrective action done by kbi,same is mentioned in NCR. IR not required.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NCR-BEML RS3R-T&C-CPD-007,04/Jun/18,04/Jun/18,CCTV HMI X1 Connector,Both the cover components of Power Connector are mis-matched. Connector cannot be assembled. (Photograph attached).,,,,___,___,,4,PAPIS,"01,02","DM-1,DM-2",M/s Televic,CLOSED,REPLACED,CCTV HMI X1 Connector,24.08.2018,REPLACEMENT BY VENDOR,Received,,,mail sent to telvic for FIR on dated 21.05.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NCR-BEML RS3R-T&C-CPD-008,06/Jun/18,06/Jun/18,Door Control Unit (DCU),"DCU in saloon door in  MC01 Door NO 7 (R2) is neither responding to electrical command nor showing the fault code on the DCU panel.
M/s IFE / KB rep at CPD has accepted for replacement of DCU",3ED01922R20,,,315281-00000120,___,,1,Door,02,M-1,M/s KBI,CLOSED,REPLACED,DCU Unit,20.09.2018,REPLACEMENT BY VENDOR,Received,,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NCR-BEML RS3R-T&C-CPD-009,06/Oct/18,06/Oct/18,Wiper Motor,"1. Wiper was not getting off even when wiper switch was operated to off position. Hence we are switching off MCB for switching off wiper.
2. We checked wiper with other wiper motor, wiper was working normal.",,,,"Assy No: Route card- 487563, 05.02.18",___,,1,VCC,02,DM-2,M/s Benson Marine,CLOSED,REPLACED,Wiper Motor,12.07.2019,REPLACEMENT BY VENDOR,24.06.2019,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NCR-BEML RS3R-T&C-CPD-010,09/May/18,07/May/18,VAC,Top cover of VAC got damaged during passing under pass – Reported by the transporter.,,,,Part No: 9422200,___,Shashi Shekhar Mishra,1,VAC,02,T-2,BEML Factory,CLOSED,,,,,,,,VAC repaired & received (hand over to MR in GA spares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NCR-BEML RS3R-T&C-CPD-010.1,09/May/18,07/May/18,Saloon VAC,"Top cover of VAC got damaged during passing under pass – Reported by the transporter.
Further it was checked and confirmed that the VAC is not functional as its internal components have got damaged severely. Being a leakage sensitive item involving human safety due to leakage of highly inflammable gas, it is recommended to replace the unit with new one only.",,,,Part No: 9422200,___,Shashi Shekhar Mishra,1,VAC,02,T-2,M/s BEML/Insurance,CLOSED,,,,,,,Insurance,VAC repaired & received (hand over to MR in GA spares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
